frameID,d0,d1,d2,d3
0,139.63,509.9,700.0,500.0
1,145.21,503.04,693.0,495.83
2,150.9,496.18,686.0,491.73
3,156.71,489.33,679.0,487.69
4,162.6,482.48,672.0,483.72
5,168.59,475.63,665.0,479.82
6,174.64,468.79,658.0,475.99
7,180.77,461.95,651.0,472.23
8,186.95,455.12,644.0,468.55
9,193.2,448.3,637.0,464.94
10,199.49,441.47,630.0,461.41
11,205.83,434.66,623.0,457.96
12,212.21,427.85,616.0,454.59
13,218.63,421.05,609.0,451.31
14,225.08,414.25,602.0,448.11
15,231.56,407.46,595.0,445.0
16,238.08,400.68,588.0,441.98
17,244.62,393.9,581.0,439.05
18,251.18,387.14,574.0,436.21
19,257.77,380.38,567.0,433.46
20,264.38,373.63,560.0,430.81
21,271.01,366.89,553.0,428.26
22,277.65,360.16,546.0,425.81
23,284.32,353.44,539.0,423.46
24,291.0,346.73,532.0,421.22
25,297.69,340.04,525.0,419.08
26,304.4,333.35,518.0,417.04
27,311.12,326.68,511.0,415.12
28,317.86,320.03,504.0,413.3
29,324.6,313.38,497.0,411.59
30,331.35,306.76,490.0,410.0
31,338.12,300.15,483.0,408.52
32,344.89,293.56,476.0,407.16
33,351.68,286.99,469.0,405.91
34,358.47,280.44,462.0,404.78
35,365.27,273.91,455.0,403.76
36,372.08,267.4,448.0,402.87
37,378.89,260.92,441.0,402.1
38,385.71,254.47,434.0,401.44
39,392.54,248.05,427.0,400.91
40,399.37,241.66,420.0,400.5
41,406.21,235.31,413.0,400.21
42,413.05,228.99,406.0,400.05
43,419.9,222.71,399.0,400.0
44,426.76,216.48,392.0,400.08
45,433.61,210.3,385.0,400.28
46,440.48,204.17,378.0,400.6
47,447.34,198.09,371.0,401.05
48,454.22,192.08,364.0,401.62
49,461.09,186.14,357.0,402.3
50,467.97,180.28,350.0,403.11
51,474.85,174.5,343.0,404.04
52,481.74,168.81,336.0,405.09
53,488.63,163.22,329.0,406.25
54,495.52,157.75,322.0,407.53
55,502.42,152.4,315.0,408.93
56,509.31,147.19,308.0,410.44
57,516.21,142.13,301.0,412.07
58,523.12,137.24,294.0,413.81
59,530.02,132.55,287.0,415.65
60,536.93,128.06,280.0,417.61
61,543.84,123.81,273.0,419.68
62,550.76,119.82,266.0,421.85
63,557.67,116.11,259.0,424.12
64,564.59,112.71,252.0,426.5
65,571.51,109.66,245.0,428.98
66,578.43,106.98,238.0,431.56
67,585.35,104.69,231.0,434.24
68,592.28,102.84,224.0,437.01
69,599.2,101.43,217.0,439.87
70,606.13,100.5,210.0,442.83
71,613.06,100.04,203.0,445.88
72,619.99,100.08,196.0,449.02
73,626.93,100.6,189.0,452.24
74,633.86,101.61,182.0,455.55
75,640.8,103.08,175.0,458.94
76,647.73,105.0,168.0,462.41
77,654.67,107.34,161.0,465.96
78,661.61,110.07,154.0,469.59
79,668.55,113.18,147.0,473.3
80,675.5,116.62,140.0,477.07
81,682.44,120.37,133.0,480.93
82,689.39,124.4,126.0,484.85
83,696.33,128.69,119.0,488.84
84,703.28,133.21,112.0,492.89
85,710.23,137.93,105.0,497.02
86,717.18,142.84,98.0,501.2
