frameID,d0,d1,d2,d3
0,100.0,447.21,811.53,330.4
1,105.0,445.0,806.63,326.31
2,110.0,442.83,801.72,322.25
3,115.0,440.71,796.82,318.21
4,120.0,438.63,791.92,314.2
5,125.0,436.61,787.02,310.22
6,130.0,434.63,782.13,306.27
7,135.0,432.7,777.23,302.35
8,140.0,430.81,772.33,298.47
9,145.0,428.98,767.44,294.61
10,150.0,427.2,762.55,290.8
11,155.0,425.47,757.66,287.01
12,160.0,423.79,752.77,283.27
13,165.0,422.17,747.88,279.57
14,170.0,420.59,742.99,275.9
15,175.0,419.08,738.11,272.28
16,180.0,417.61,733.23,268.7
17,185.0,416.2,728.34,265.17
18,190.0,414.85,723.46,261.69
19,195.0,413.55,718.59,258.26
20,200.0,412.31,713.71,254.88
21,205.0,411.13,708.83,251.55
22,210.0,410.0,703.96,248.28
23,215.0,408.93,699.09,245.07
24,220.0,407.92,694.22,241.91
25,225.0,406.97,689.35,238.82
26,230.0,406.08,684.49,235.8
27,235.0,405.25,679.62,232.85
28,240.0,404.47,674.76,229.96
29,245.0,403.76,669.9,227.15
30,250.0,403.11,665.04,224.41
31,255.0,402.52,660.19,221.76
32,260.0,402.0,655.33,219.18
33,265.0,401.53,650.48,216.7
34,270.0,401.12,645.63,214.29
35,275.0,400.78,640.78,211.98
36,280.0,400.5,635.94,209.77
37,285.0,400.28,631.1,207.65
38,290.0,400.12,626.26,205.63
39,295.0,400.03,621.42,203.71
40,300.0,400.0,616.59,201.9
41,305.0,400.03,611.76,200.19
42,310.0,400.12,606.93,198.6
43,315.0,400.28,602.1,197.12
44,320.0,400.5,597.28,195.76
45,325.0,400.78,592.46,194.52
46,330.0,401.12,587.64,193.4
47,335.0,401.53,582.83,192.4
48,340.0,402.0,578.01,191.53
49,345.0,402.52,573.21,190.78
50,350.0,403.11,568.4,190.16
51,355.0,403.76,563.6,189.68
52,360.0,404.47,558.8,189.32
53,365.0,405.25,554.01,189.1
54,370.0,406.08,549.22,189.0
55,375.0,406.97,544.43,189.04
56,380.0,407.92,539.65,189.21
57,385.0,408.93,534.87,189.52
58,390.0,410.0,530.09,189.95
59,395.0,411.13,525.32,190.52
60,400.0,412.31,520.56,191.21
61,405.0,413.55,515.8,192.03
62,410.0,414.85,511.04,192.98
63,415.0,416.2,506.29,194.05
64,420.0,417.61,501.54,195.25
65,425.0,419.08,496.79,196.56
66,430.0,420.59,492.06,197.99
67,435.0,422.17,487.32,199.54
68,440.0,423.79,482.6,201.2
69,445.0,425.47,477.88,202.97
70,450.0,427.2,473.16,204.85
71,455.0,428.98,468.45,206.83
72,460.0,430.81,463.75,208.91
73,465.0,432.7,459.05,211.09
74,470.0,434.63,454.36,213.36
75,475.0,436.61,449.67,215.72
76,480.0,438.63,444.99,218.18
77,485.0,440.71,440.32,220.72
78,490.0,442.83,435.66,223.34
79,495.0,445.0,431.0,226.05
80,500.0,447.21,426.36,228.83
81,505.0,449.47,421.72,231.68
82,510.0,451.77,417.09,234.61
83,515.0,454.12,412.46,237.61
84,520.0,456.51,407.85,240.67
85,525.0,458.94,403.24,243.8
86,530.0,461.41,398.65,246.99
87,535.0,463.92,394.06,250.23
88,540.0,466.48,389.49,253.54
89,545.0,469.07,384.92,256.9
90,550.0,471.7,380.37,260.31
91,555.0,474.37,375.83,263.77
92,560.0,477.07,371.3,267.29
93,565.0,479.82,366.78,270.84
94,570.0,482.6,362.27,274.45
95,575.0,485.41,357.78,278.1
96,580.0,488.26,353.3,281.78
97,585.0,491.15,348.83,285.51
98,590.0,494.06,344.38,289.28
99,595.0,497.02,339.95,293.08
100,600.0,500.0,335.53,296.92
